id,name,fed,sex,title,wtit,bday,gmYear,deceased,deathYear,revoked,revokedYear,revokedReason,birthCountry,birthCity,fedHistory,photo,photoSource,bio,bioSource,chesscom,chesscomPlayer,lichess,chessgames,website,x,instagram,youtube,twitch,facebook
1401815,"Aagaard, Jacob",DEN,M,GM,,1973,2007,false,,false,,,DEN,Hørsholm,DEN|SCO|DEN|SCO|DEN,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jacob_Aagaard.jpg/250px-Jacob_Aagaard.jpg,,,,GMJacobAagaard,jacob-aagaard,JacobAagaard,35994,,,,,,
45059756,Aarav Dengla,IND,M,GM,,2009,2025,false,,false,,,IND,Mumbai,IND,,,,,,aarav-dengla,,,,,,,,
45048975,Aaryan Varshney,IND,M,GM,,2005,2026,false,,false,,,IND,,IND,,,,,,aaryan-varshney,,,,,,,,
13402960,"Abasov, Nijat",AZE,M,GM,,1995,2011,false,,false,,,AZE,Baku,AZE,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Nijat_Abasov_at_the_Candidates_2024_tournament_14_%28cropped%29.jpg/250px-Nijat_Abasov_at_the_Candidates_2024_tournament_14_%28cropped%29.jpg,,,,AbasovN,nijat-abasov,AbasovN,110381,,,abasovnijat,,,abasov.nijat
12501000,"Abbasifar, Hasan",ESP,M,GM,,1972,2013,false,,false,,,IRI,Shiraz,IRI|ESP,,,,,,hasan-abbasifar,,58114,,,,,,
13400665,"Abbasov, Farid",AZE,M,GM,,1979,2007,false,,false,,,AZE,Baku,AZE,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Farid_Abbasov.jpg/250px-Farid_Abbasov.jpg,,,,,farid-abbasov,,49449,,,,,,
14206323,"Abdisalimov, Abdimalik",UZB,M,GM,,2002,2023,false,,false,,,UZB,,UZB,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Abdisalimov_Abdimalik_%28cropped%29.jpg/250px-Abdisalimov_Abdimalik_%28cropped%29.jpg,,,,Abdimalik_Abdisalimov,abdumalik1912,Abdisalimov,158375,,,,,,
13703544,"Abdumalik, Zhansaya",KAZ,F,GM,WGM,2000,2021,false,,false,,,KAZ,Almaty,KAZ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Zhansaya_Abdumalik_FIDE_Women%27s_Grand_Prix_2023_Munich_%28cropped%29.jpg/250px-Zhansaya_Abdumalik_FIDE_Women%27s_Grand_Prix_2023_Munich_%28cropped%29.jpg,,,,ZAbdumalik,zhansaya-abdumalik,,113680,http://www.chessacademy.kz,,zhansaya_abdumalik,,ZAbdumalik,zhansaya.abdumalik
14204118,"Abdusattorov, Nodirbek",UZB,M,GM,,2004,2018,false,,false,,,UZB,Tashkent,UZB,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Abdusattorov_Nodirbek_Uzchess_cup_3_masters_%28cropped%29.jpg/250px-Abdusattorov_Nodirbek_Uzchess_cup_3_masters_%28cropped%29.jpg,,"Nodirbek Fazliddin oʻgʻli Abdusattorov is an Uzbek chess grandmaster. A chess prodigy, he qualified for the grandmaster title at the age of 13 years, 1 month, and 11 days. FIDE awarded him the title in April 2018.",https://en.wikipedia.org/wiki/Nodirbek_Abdusattorov,ChessWarrior7197,nodirbek-abdusattorov,chesswarrior04,149949,https://nodirbekchess.com/uz/,,abdusattorov_nodirbek_official,UCcAU5XhWBJj8fDmGDZ6S-JQ,chesswarrior2004,
614890,"Abergel, Thal",FRA,M,GM,,1982,2008,false,,false,,,ISR,Haifa,FRA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/ThalAbergel14.jpg/250px-ThalAbergel14.jpg,,,,Kovkov,thal-abergel,FunkyChess,51933,,,,,,
900206,"Abramović, Boško",YUG,M,GM,,1951,1984,true,2021,false,,,SRB,Zrenjanin,YUG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bo%C5%A1ko_Abramovi%C4%87_2013.jpg/250px-Bo%C5%A1ko_Abramovi%C4%87_2013.jpg,,,,,bosko-abramovic,,15490,,,,,,
3502589,"Abreu Delgado, Aryam",CUB,M,GM,,1978,2008,false,,false,,,CUB,Güines,CUB,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/AbreauDelgado_Aryam.jpg/250px-AbreauDelgado_Aryam.jpg,,,,AryamAbreu,aryam-abreu-delgado,,49086,,,,,,
